,id,trait,sample_size,nsnp,year,consortium,author,note,group_name,mr,sex,pmid,priority,population,unit,build,category,subcategory,ontology,ncase,ncontrol,sd
690,ukb-b-19807,Diagnoses - main ICD10: M51.3 Other specified intervertebral disk degeneration,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#M513: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1045,461965,NA
706,ukb-d-M13_CERVICALGIA,Cervicalgia,361194,9374895,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1049,360145,NA
716,ukb-d-III_BLOOD_IMMUN,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,361194,13284312,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,10095,351099,NA
719,ebi-a-GCST004604,Hematocrit,173039,29167906,2016,NA,Astle WJ,NA,public,1,NA,27863252,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
730,ukb-a-189,Treatment/medication code: cipralex 5mg tablet,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,297,336862,NA
740,ukb-b-16858,Cough on most days,112583,9851867,2018,MRC-IEU,Ben Elsworth,22502: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,15367,97216,NA
748,ukb-b-19346,PCT where patients GP was registered: COUNTY DURHAM PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5ND: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3711,459299,NA
752,ukb-d-30110_irnt,Platelet distribution width,350470,13586285,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
772,ukb-b-3355,"Diagnoses - main ICD10: D50.9 Iron deficiency anaemia, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#D509: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2066,460944,NA
774,ukb-a-66,Non-cancer illness code  self-reported: asthma,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,39049,298110,NA
776,ukb-b-14086,Diagnoses - main ICD10: N93.8 Other specified abnormal uterine and vaginal bleeding,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#N938: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1392,461618,NA
811,ukb-b-10712,Diagnoses - main ICD10: O70.1 Second degree perineal laceration during delivery,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#O701: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2469,460541,NA
818,ukb-d-20419,Difficulty concentrating during worst period of anxiety,34879,13541981,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,26400,8479,NA
829,ukb-b-57,Type of fat/oil used in cooking: Sunflower oil,64949,9851867,2018,MRC-IEU,Ben Elsworth,20090#354: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8022,56927,NA
838,ukb-a-103,Non-cancer illness code  self-reported: crohns disease,337159,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,1032,336127,NA
860,ukb-b-19845,Operative procedures - secondary OPCS: Y82.9 Unspecified local anaesthetic,463010,9851867,2018,MRC-IEU,Ben Elsworth,41210#Y829: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,10278,452732,NA
862,ukb-a-406,Current employment status: Looking after home and/or family,336252,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,16722,319530,NA
883,ukb-b-8792,Operative procedures - main OPCS: H48.2 Excision of skin tag of anus,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#H482: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1186,461824,NA
890,ukb-b-2194,Diagnoses - main ICD10: O63.1 Prolonged second stage (of labour),463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#O631: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1027,461983,NA
892,ukb-b-8388,Started insulin within one year diagnosis of diabetes,21241,9851867,2018,MRC-IEU,Ben Elsworth,2986: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2592,18649,NA
903,met-d-M_VLDL_CE,Cholesteryl esters in medium VLDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
905,ukb-b-6798,Operative procedures - main OPCS: A52.1 Therapeutic lumbar epidural injection,463010,9851867,2018,MRC-IEU,Ben Elsworth,41200#A521: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2169,460841,NA
936,ukb-b-8184,"Diagnoses - secondary ICD10: I25.9 Chronic ischaemic heart disease, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#I259: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,5861,457149,NA
938,met-d-L_VLDL_C_pct,Cholesterol to total lipids ratio in large VLDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
948,met-d-Total_C,Total cholesterol,115046,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
968,ukb-b-8061,Type of sliced bread eaten: other,64949,9851867,2018,MRC-IEU,Ben Elsworth,20091#5: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1182,63767,NA
970,met-d-XL_HDL_CE,Cholesteryl esters in very large HDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
986,met-d-XS_VLDL_FC,Free cholesterol in very small VLDL,115078,12321875,2020,NA,Borges CM,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
987,ukb-d-22601_24423108,"Job coding: social worker, child care/protection officer, adoption officer, mental health officer, almoner, family case worker",89866,9954298,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1488,88378,NA
999,ukb-d-Z46,Diagnoses - main ICD10: Z46 Fitting and adjustment of other devices,361194,11521299,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3614,357580,NA
1009,ukb-b-2603,Average monthly fortified wine intake,34270,9851867,2018,MRC-IEU,Ben Elsworth,4451: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
1012,ebi-a-GCST010780,COVID-19 (RELEASE 4),1299010,12508741,2020,NA,COVID-19 Host Genetics Initiative,NA,public,1,NA,32404885,0,European,NA,HG19/GRCh37,NA,NA,NA,14134,1284876,NA
1015,ukb-b-374,How are people in household related to participant: Brother and/or sister,459600,9851867,2018,MRC-IEU,Ben Elsworth,6141#3: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2511,457089,NA
1017,ukb-b-1761,"Diagnoses - secondary ICD10: J18.1 Lobar pneumonia, unspecified",463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#J181: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1045,461965,NA
1029,ukb-d-20116_0,Smoking status: Never,359706,13586591,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,195068,164638,NA
1054,met-c-960,Triglycerides in chylomicrons and largest VLDL particles,21540,11843388,2016,NA,Kettunen,XXL.VLDL.TG; SD value comes from the original untransformed distribution of the ERF cohort,public,1,Males and Females,27005778,1,European,SD,HG19/GRCh37,Metabolites,Lipid,NA,NA,NA,0.53
1069,ukb-d-22617_6111,Job SOC coding: Nursing auxiliaries and assistants,91149,9730612,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1301,89848,NA
1079,ukb-b-13354,Whole body fat-free mass,454850,9851867,2018,MRC-IEU,Ben Elsworth,23101: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
1092,ukb-b-15903,Treatment speciality of consultant (recoded): Oral surgery,444503,9851867,2018,MRC-IEU,Ben Elsworth,41246#1980: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,11591,432912,NA
1127,ukb-b-8553,Decaffeinated tea,64949,9851867,2018,MRC-IEU,Ben Elsworth,100470: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
1134,ukb-d-K59,Diagnoses - main ICD10: K59 Other functional intestinal disorders,361194,11677253,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,3712,357482,NA
1136,ukb-b-17078,Treatment/medication code: movicol oral powder,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1140925800: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1441,461492,NA
1195,ukb-b-1799,Methods of admission to hospital (recoded): Transfer,462442,9851867,2018,MRC-IEU,Ben Elsworth,41249#5000: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,7703,454739,NA
1223,ukb-d-20118_13,Home area population density - urban or rural: Scotland - Accessible Small Town,357712,9455734,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1102,356610,NA
1238,ukb-b-20038,Diagnoses - main ICD10: Z13.8 Special screening examination for other specified diseases and disorders,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#Z138: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1246,461764,NA
1240,ukb-b-7793,Diagnoses - main ICD9: V252 Sterilization,463010,9851867,2018,MRC-IEU,Ben Elsworth,41203#V252: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2211,460799,NA
1244,ukb-b-8537,Starch,64979,9851867,2018,MRC-IEU,Ben Elsworth,100023: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
1253,ukb-b-19994,Spherical power (right),99380,9851867,2018,MRC-IEU,Ben Elsworth,5084: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
1254,ukb-d-41215_1,"Detention categories: Formally detained under Part II, Mental Health Act 1983",361194,10632519,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2226,358968,NA
1270,ebi-a-GCST004692,Amyotrophic lateral sclerosis,36052,8643689,2016,NA,van Rheenen W,NA,public,1,NA,27455348,0,European,logOR,HG19/GRCh37,NA,NA,NA,12577,23475,NA
1271,ukb-d-22506_114,Tobacco smoking: Never smoked,91353,13567196,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,54520,36833,NA
1272,ukb-d-I9_INTRACRA,Nontraumatic intracranial haemmorrhage,361194,9668405,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1253,359941,NA
1286,ukb-d-22604_4,Work hours - lumped category: Over 40 hours,75177,13563394,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,37201,37976,NA
1287,ukb-a-237,Pack years of smoking PREVIEW ONLY,101726,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,NA,NA,NA
1292,ukb-b-14037,Treatment/medication code: glucosamine product,462933,9851867,2018,MRC-IEU,Ben Elsworth,20003#1141188442: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,30643,432290,NA
1303,ukb-b-13979,"Non-cancer illness code, self-reported: fracture lower leg / ankle",462933,9851867,2018,MRC-IEU,Ben Elsworth,20002#1651: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1878,461055,NA
1315,ukb-b-235,PCT where patients GP was registered: LANGBAURGH PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5KN: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1343,461667,NA
1317,ukb-d-R63,Diagnoses - main ICD10: R63 Symptoms and signs concerning food and fluid intake,361194,9758930,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1279,359915,NA
1324,ukb-b-707,Diagnoses - secondary ICD10: K58.9 Irritable bowel syndrome without diarrhoea,463010,9851867,2018,MRC-IEU,Ben Elsworth,41204#K589: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,2760,460250,NA
1337,ebi-a-GCST007430,Peak expiratory flow,321047,14791652,2019,NA,Shrine N,NA,public,1,NA,30804560,0,European,NA,HG19/GRCh37,NA,NA,NA,NA,NA,NA
1340,ukb-b-8694,PCT responsible for patient data: CALDERDALE PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5J6: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,1162,461848,NA
1358,ukb-b-2832,Fizzy drink intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,100170: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
1367,ukb-a-354,Headaches for 3+ months,65583,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,29979,35604,NA
1377,ukb-b-10546,Oily fish intake,64949,9851867,2018,MRC-IEU,Ben Elsworth,103160: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
1379,ukb-d-22617_1151,Job SOC coding: Financial institution managers,91149,9754890,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,1320,89829,NA
1383,ukb-b-8764,"Types of physical activity in last 4 weeks: Other exercises (eg: swimming, cycling, keep fit, bowling)",460376,9851867,2018,MRC-IEU,Ben Elsworth,6164#2: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,222470,237906,NA
1392,ukb-b-6608,Diagnoses - main ICD10: R10.1 Pain localised to upper abdomen,463010,9851867,2018,MRC-IEU,Ben Elsworth,41202#R101: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,5981,457029,NA
1393,ukb-b-3132,Operation code: eye surgery,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1434: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4337,458596,NA
1406,ukb-a-212,Illnesses of mother: None of the above (group 2),308780,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,241462,71488,NA
1412,ukb-a-450,Medication for cholesterol  blood pressure  diabetes  or take exogenous hormones: Blood pressure medication,180203,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,31488,148715,NA
1433,ukb-d-20546_1,Substances taken for depression: Unprescribed medication (more than once),117763,11698435,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,4111,113652,NA
1442,ukb-a-550,Diagnoses - main ICD10: K43 Ventral hernia,337199,10894596,2017,Neale Lab,Neale,NA,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,NA,NA,NA,1536,335663,NA
1443,ukb-b-998,Soya dessert intake,64947,9851867,2018,MRC-IEU,Ben Elsworth,102170: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
1444,ukb-d-C3_SKIN,Malignant neoplasm of skin,361194,13586589,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,16531,344663,NA
1450,ukb-b-19791,PCT where patients GP was registered: ROTHERHAM PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41230#5H8: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3112,459898,NA
1453,ukb-b-12839,Operation code: umbilical hernia repair,462933,9851867,2018,MRC-IEU,Ben Elsworth,20004#1404: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,4071,458862,NA
1454,ukb-b-17627,Non-oily fish intake,460880,9851867,2018,MRC-IEU,Ben Elsworth,1339: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Categorical Ordered,NA,NA,NA,NA,NA
1459,ukb-b-13506,3mm weak meridian (right),96007,9851867,2018,MRC-IEU,Ben Elsworth,5099: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Continuous,NA,NA,NA,NA,NA
1460,ukb-d-M13_SOFTTISSUEOTH,"Other soft tissue disorders, not elsewhere classified",361194,12694879,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,7233,353961,NA
1461,ukb-d-K11_APPENDIX,Diseases of appendix,361194,11121577,2018,NA,Neale lab,NA,public,1,Males and Females,NA,0,European,NA,HG19/GRCh37,Binary,NA,NA,2953,358241,NA
1469,ukb-b-11010,How are people in household related to participant: Other unrelated,459600,9851867,2018,MRC-IEU,Ben Elsworth,6141#8: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,8247,451353,NA
1472,ukb-b-6540,PCT responsible for patient data: NEWCASTLE PCT,463010,9851867,2018,MRC-IEU,Ben Elsworth,41229#5D7: Output from GWAS pipeline using Phesant derived variables from UKBiobank,public,1,Males and Females,NA,1,European,SD,HG19/GRCh37,Binary,NA,NA,3570,459440,NA
